set,composer,albumID,pieceID,key,chroma,participant,valence,arousal,condition,expID
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,14,3,95,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,14,6,30,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,15,4,71,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,15,6,25,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,16,7,97,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,16,5,37,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,17,2,80,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,17,5,30,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,18,5,67,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,18,5,24,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,19,4,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,19,5,34,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,24,3,28,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,24,6,18,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,25,5,55,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,25,6,17,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,26,3,100,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,26,6,59,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,27,4,44,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,27,3,33,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,28,1,75,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,28,6,20,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,29,6,79,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,29,3,28,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,30,5,31,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,30,3,23,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,31,5,85,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,31,5,27,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,32,5,76,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,32,5,31,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,33,4,15,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,33,3,28,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,34,2,87,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,34,4,31,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,37,4,79,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,37,6,33,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,38,2,73,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,38,5,35,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,39,5,97,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,39,7,14,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,4,5,58,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,4,5,24,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,m1,c#,1,40,2,80,deadpan,137
1,chopin,chopinAshkenazy1992Deadpan,M1,Db,1,40,5,30,deadpan,137
